USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2001,4.951,,,6/1/2001,6.5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2001,4.9327,,,6/4/2001,6.5687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2001,4.8502,,,6/5/2001,6.4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2001,4.8659,,,6/6/2001,6.4548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2001,4.8949,,,6/7/2001,6.5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2001,4.9371,,,6/8/2001,6.5816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2001,4.8663,,,6/11/2001,6.5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2001,4.8301,,,6/12/2001,6.5198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2001,4.805,,,6/13/2001,6.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2001,4.7461,,,6/14/2001,6.5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2001,4.7278,,,6/15/2001,6.5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2001,4.7326,,,6/18/2001,6.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2001,4.7258,,,6/19/2001,6.6638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2001,4.7072,,,6/20/2001,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2001,4.7151,,,6/21/2001,6.6013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2001,4.6298,,,6/22/2001,6.5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2001,4.6786,,,6/25/2001,6.5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2001,4.7634,,,6/26/2001,6.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2001,4.8846,,,6/27/2001,6.6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2001,4.9818,,,6/28/2001,6.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2001,5.0608,,,6/29/2001,6.8337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2001,4.9486,,,7/2/2001,6.7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2001,5.0638,,,7/3/2001,6.6924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2001,4.9746,,,7/5/2001,6.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2001,4.8702,,,7/6/2001,6.7671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2001,4.8688,,,7/9/2001,6.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2001,4.8063,,,7/10/2001,6.6731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2001,4.9136,,,7/11/2001,6.6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2001,4.8253,,,7/12/2001,6.6132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2001,4.8782,,,7/13/2001,6.5981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2001,4.8097,,,7/16/2001,6.5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2001,4.8581,,,7/17/2001,6.5406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2001,4.6538,,,7/18/2001,6.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2001,4.6596,,,7/19/2001,6.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2001,4.672,,,7/20/2001,6.4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2001,4.6555,,,7/23/2001,6.3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2001,4.6586,,,7/24/2001,6.4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2001,4.7285,,,7/25/2001,6.5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2001,4.596,,,7/26/2001,6.4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2001,4.5103,,,7/27/2001,6.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2001,4.5277,,,7/30/2001,6.4253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2001,4.4485,,,7/31/2001,6.4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2001,4.49,,,8/1/2001,6.4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2001,4.5916,,,8/2/2001,6.5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2001,4.5931,,,8/3/2001,6.5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2001,4.5681,,,8/6/2001,6.4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2001,4.5974,,,8/7/2001,6.5196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2001,4.4526,,,8/8/2001,6.3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2001,4.4634,,,8/9/2001,6.4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
